Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
G3,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
Sidharth Homes 1,2 BHK Flat for sale in Dwarka Mor,₹24.0 L,,₹4.36 K/sq.ft,,None sq.ft,
Sidharth Homes 1,2 BHK Flat for sale in Dwarka Mor,₹22.0 L,,₹4.89 K/sq.ft,,None sq.ft,
Nawada Housing Complex,2 BHK Flat for sale in Dwarka Mor,₹25.0 L,,₹4.5 K/sq.ft,,None sq.ft,
Sidharth Rathi Luxury Homes,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹50.98 L,,₹5.66 K/sq.ft,,None sq.ft,
G3 The Luxury Appartments,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹5.0 K/sq.ft,,None sq.ft,
Shiv Mahima Smart Floors,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹51.75 L,,₹5.75 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹52.0 L,,₹5.78 K/sq.ft,,None sq.ft,
RP,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹57.5 L,,₹5.11 K/sq.ft,,None sq.ft,
RP,2 BHK Flat for sale in Dwarka Mor,₹33.5 L,,₹5.32 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹51.5 L,,₹5.72 K/sq.ft,,None sq.ft,
RP Affordable Flats,3 BHK Flat for sale in Dwarka Mor,₹53.0 L,,₹6.24 K/sq.ft,,None sq.ft,
RP,2 BHK Flat for sale in Dwarka Mor,₹32.5 L,,₹5.16 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.35 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹53.5 L,,₹6.29 K/sq.ft,,None sq.ft,
RP Affordable Homes,3 BHK Flat for sale in Dwarka Mor,₹53.75 L,,₹6.32 K/sq.ft,,None sq.ft,
RP,4 BHK Flat for sale in Dwarka Mor,₹64.5 L,,₹5.86 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹52.75 L,,₹6.21 K/sq.ft,,None sq.ft,
RP,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.91 K/sq.ft,,None sq.ft,
RP,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹33.5 L,,₹5.58 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹52.25 L,,₹5.81 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹53.25 L,,₹6.26 K/sq.ft,,None sq.ft,
RP,4 BHK Flat for sale in Dwarka Mor,₹63.75 L,,₹5.67 K/sq.ft,,None sq.ft,
RP,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹32.25 L,,₹5.12 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
RP,4 BHK Flat for sale in Dwarka Mor,₹58.0 L,,₹4.83 K/sq.ft,,None sq.ft,
RP Affordable Homes,3 BHK Flat for sale in Dwarka Mor,₹51.0 L,,₹5.67 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹48.0 L,,₹5.65 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹49.0 L,,₹5.76 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹50.75 L,,₹5.64 K/sq.ft,,None sq.ft,
RP,4 BHK Flat for sale in Dwarka Mor,₹62.0 L,,₹4.96 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹52.0 L,,₹6.36 K/sq.ft,,None sq.ft,
RP,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹4.76 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹52.0 L,,₹6.42 K/sq.ft,,None sq.ft,
RP,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹5.56 K/sq.ft,,None sq.ft,
8 Majestic Home,2 BHK Flat for sale in Dwarka Mor,₹36.0 L,,₹5.54 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹45.0 L,,₹5.77 K/sq.ft,South,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹50.0 L,,₹6.17 K/sq.ft,North,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹72.0 L,,₹8.0 K/sq.ft,,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹1.4 Cr,,₹20.74 K/sq.ft,,None sq.ft,
RP Luxury Floors,4 BHK Flat for sale in Dwarka Mor,₹62.8 L,,₹5.58 K/sq.ft,,None sq.ft,
RP Luxury Floors by RP,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹6.17 K/sq.ft,,None sq.ft,
R P,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.42 K/sq.ft,,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹6.17 K/sq.ft,,None sq.ft,
8 Majestic Homes - I by 8 Majestic Home,2 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹6.43 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹65.0 L,,₹4.81 K/sq.ft,North,None sq.ft,
Shiv Mahima Luxury Floors,2 BHK Flat for sale in Dwarka Mor,₹28.86 L,,₹4.81 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹27.53 L,,₹4.59 K/sq.ft,West,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹5.0 K/sq.ft,North-west,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹44.5 L,,₹5.49 K/sq.ft,West,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹27.41 L,,₹4.57 K/sq.ft,North,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹48.0 L,,₹5.33 K/sq.ft,South-west,None sq.ft,
Shiv Mahima Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹47.5 L,,₹5.28 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹47.0 L,,₹5.22 K/sq.ft,South-west,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹27.38 L,,₹4.56 K/sq.ft,South-east,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹29.0 L,,₹4.83 K/sq.ft,East,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹51.49 L,,₹5.72 K/sq.ft,South,None sq.ft,
S Gambhir The Palladium,2 BHK Flat for sale in Dwarka Mor,₹26.0 L,,₹4.73 K/sq.ft,,None sq.ft,
Khatushyam Homes 1,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹29.75 L,,₹4.58 K/sq.ft,,None sq.ft,
APA,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹20.0 L,,₹3.31 K/sq.ft,,None sq.ft,
apa buildtech,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹18.0 L,,₹4.43 K/sq.ft,,None sq.ft,
APA,3 BHK Flat for sale in Dwarka Mor,₹66.0 L,,₹7.33 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹40.0 L,,₹5.93 K/sq.ft,East,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.51 L,,₹5.67 K/sq.ft,North-east,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹41.0 L,,₹4.32 K/sq.ft,North-east,None sq.ft,
Kaanha Homes 2,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹20.0 L,,₹4.44 K/sq.ft,,None sq.ft,
Kaanha Homes 2,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹4.55 K/sq.ft,,None sq.ft,
indipandent builder floor,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹35.0 L,,₹6.36 K/sq.ft,,None sq.ft,
APA,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.75 K/sq.ft,,None sq.ft,
APA,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹26.0 L,,₹4.73 K/sq.ft,,None sq.ft,
APA,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹58.0 L,,₹6.82 K/sq.ft,,None sq.ft,
APA,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹60.0 L,,₹7.06 K/sq.ft,,None sq.ft,
APA,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹63.0 L,,₹5.25 K/sq.ft,,None sq.ft,
APA,2 BHK Flat for sale in Dwarka Mor,₹31.0 L,,₹5.17 K/sq.ft,,None sq.ft,
APA,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹64.0 L,,₹5.82 K/sq.ft,,None sq.ft,
APA,3 BHK Flat for sale in Dwarka Mor,₹42.0 L,,₹4.94 K/sq.ft,,None sq.ft,
APA,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.21 L,,₹5.04 K/sq.ft,,None sq.ft,
APA,1 BHK Independent House for sale in Dwarka Mor,₹19.0 L,,₹5.28 K/sq.ft,,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹16.9 L,,₹4.69 K/sq.ft,North-east,None sq.ft,
Kaanha Homes 2,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹4.55 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹43.0 L,,₹5.73 K/sq.ft,South,None sq.ft,
G3 Home 1 by G3 Associates,3 BHK Flat for sale in Dwarka Mor,₹48.0 L,,₹6.0 K/sq.ft,,None sq.ft,
The Apna Ghar,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.88 K/sq.ft,,None sq.ft,
G3 The Luxury Appartments,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.82 K/sq.ft,,None sq.ft,
Shri krishna ASSOCIATE,2 BHK Flat for sale in Dwarka Mor,₹23.0 L,,₹4.18 K/sq.ft,,None sq.ft,
The Ghar,2 BHK Flat for sale in Dwarka Mor,₹27.1 L,,₹4.52 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹36.0 L,,₹8.0 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹35.0 L,,₹5.83 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹65.0 L,,₹6.84 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹75.0 L,,₹6.25 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹32.0 L,,₹7.11 K/sq.ft,,None sq.ft,
The Ghar,3 BHK Flat for sale in Dwarka Mor,₹64.0 L,,₹7.11 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,3 BHK Flat for sale in Dwarka Mor,₹40.0 L,,₹4.71 K/sq.ft,,None sq.ft,
S Gambhir Homes,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹47.0 L,,₹4.27 K/sq.ft,,None sq.ft,
S Gambhir Homes,3 BHK Flat for sale in Dwarka Mor,₹75.0 L,,₹7.58 K/sq.ft,,None sq.ft,
S Gambhir The Estonia,2 BHK Flat for sale in Dwarka Mor,₹45.5 L,,₹7.13 K/sq.ft,,None sq.ft,
S Gambhir The Palladium,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.93 K/sq.ft,,None sq.ft,
S Gambhir The Estonia,3 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹6.5 K/sq.ft,,None sq.ft,
S Gambhir The Palladium,3 BHK Flat for sale in Dwarka Mor,₹42.0 L,,₹5.25 K/sq.ft,,None sq.ft,
S Gambhir Premium Homes,3 BHK Flat for sale in Dwarka Mor,₹75.67 L,,₹6.88 K/sq.ft,,None sq.ft,
S Gambhir Premium Homes,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹53.0 L,,₹5.3 K/sq.ft,,None sq.ft,
S Gambhir The Palladium,4 BHK Flat for sale in Dwarka Mor,₹80.0 L,,₹6.84 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,2 BHK Flat for sale in Dwarka Mor,₹29.0 L,,₹4.14 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,2 BHK Flat for sale in Dwarka Mor,₹24.5 L,,₹4.08 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,3 BHK Flat for sale in Dwarka Mor,₹37.5 L,,₹4.41 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,2 BHK Flat for sale in Dwarka Mor,₹28.0 L,,₹4.31 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,3 BHK Flat for sale in Dwarka Mor,₹42.0 L,,₹4.67 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,1 BHK Flat for sale in Dwarka Mor,₹17.0 L,,₹3.78 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,3 BHK Flat for sale in Dwarka Mor,₹38.5 L,,₹4.53 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹46.0 L,,₹5.11 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹28.0 L,,₹4.0 K/sq.ft,South-east,None sq.ft,
Khatu Shhyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹54.0 L,,₹6.0 K/sq.ft,,None sq.ft,
KhatuShyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹52.0 L,,₹5.78 K/sq.ft,,None sq.ft,
KhatuShyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹44.0 L,,₹5.43 K/sq.ft,,None sq.ft,
Khatu Shhyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹7.22 K/sq.ft,,None sq.ft,
Khatu Shhyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹76.0 L,,₹6.91 K/sq.ft,,None sq.ft,
KhatuShyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹64.0 L,,₹7.11 K/sq.ft,,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹6.67 K/sq.ft,,None sq.ft,
Khatu Shhyam Luxury Homes,2 BHK Flat for sale in Dwarka Mor,₹26.0 L,,₹4.33 K/sq.ft,,None sq.ft,
KhatuShyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹64.0 L,,₹7.11 K/sq.ft,,None sq.ft,
Khatu Shhyam Luxury Homes,2 BHK Flat for sale in Dwarka Mor,₹23.0 L,,₹3.83 K/sq.ft,,None sq.ft,
KhatuShyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹16.5 L,,₹3.67 K/sq.ft,North,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹24.0 L,,₹4.0 K/sq.ft,South,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹24.5 L,,₹4.08 K/sq.ft,South-east,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹3.97 K/sq.ft,North-east,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹36.5 L,,₹4.87 K/sq.ft,North,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.5 L,,₹2.5 K/sq.ft,South-east,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.17 K/sq.ft,South-east,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.17 K/sq.ft,North,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,North-east,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹5.63 K/sq.ft,,None sq.ft,
Khatu Shhyam Luxury Homes,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.65 K/sq.ft,,None sq.ft,
Prime bulider,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹5.17 K/sq.ft,,None sq.ft,
Prime bulider,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹24.0 L,,₹4.85 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹27.0 L,,₹10.07 K/sq.ft,,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹65.0 L,,₹10.4 K/sq.ft,,None sq.ft,
,Residential Plot for sale in Dwarka Mor,₹38.0 L,,₹None K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹37.0 L,,₹8.3 K/sq.ft,,None sq.ft,
P block Mohan garden,2 BHK Flat for sale in Dwarka Mor,₹12.0 L,,₹3.0 K/sq.ft,,None sq.ft,
,5 BHK Independent House for sale in Dwarka Mor,₹48.0 L,,₹10.3 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹70.11 L,,₹6.49 K/sq.ft,East,None sq.ft,
Prime builder,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.11 L,,₹4.81 K/sq.ft,,None sq.ft,
Mohan garden,2 BHK Flat for sale in Dwarka Mor,₹28.0 L,,₹4.0 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹59.0 L,,₹13.41 K/sq.ft,,None sq.ft,
PRIME,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹55.11 L,,₹5.8 K/sq.ft,,None sq.ft,
Prime builder,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹1.1 Cr,,₹7.41 K/sq.ft,,None sq.ft,
Prime builder,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹57.11 L,,₹6.35 K/sq.ft,,None sq.ft,
Prime,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹40.11 L,,₹4.86 K/sq.ft,,None sq.ft,
no.  A-58,3 BHK Flat for sale in Dwarka Mor,₹38.51 L,,₹4.5 K/sq.ft,,None sq.ft,
Prime builder,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.51 L,,₹5.56 K/sq.ft,,None sq.ft,
,5 BHK Independent House for sale in Dwarka Mor,₹75.0 L,,₹16.67 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹75.0 L,,₹16.67 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹3.94 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹56.0 L,,₹4.67 K/sq.ft,North-east,None sq.ft,
Prime builder,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹70.0 L,,₹7.61 K/sq.ft,,None sq.ft,
PRIME,3 BHK Flat for sale in Dwarka Mor,₹44.11 L,,₹5.35 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹45.0 L,,₹10.11 K/sq.ft,,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹58.0 L,,₹12.89 K/sq.ft,,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹45.0 L,,₹10.11 K/sq.ft,,None sq.ft,
G3 buildtech,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹4.63 K/sq.ft,,None sq.ft,
The Ghar,2 BHK Flat for sale in Dwarka Mor,₹25.0 L,,₹5.05 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹4.18 K/sq.ft,,None sq.ft,
The property square,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹43.3 L,,₹5.41 K/sq.ft,,None sq.ft,
The property square,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹28.1 L,,₹5.11 K/sq.ft,,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹85.0 L,,₹7.95 K/sq.ft,,None sq.ft,
PRIME,4 BHK Flat for sale in Dwarka Mor,₹85.11 L,,₹7.4 K/sq.ft,,None sq.ft,
DWARKA MOR DELHI,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹4.55 K/sq.ft,,None sq.ft,
DWARKA MOR DELHI,3 BHK Independent House for sale in Dwarka Mor,₹54.0 L,,₹11.74 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹48.0 L,,₹5.26 K/sq.ft,South-east,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹65.0 L,,₹13.0 K/sq.ft,North-east,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹70.0 L,,₹14.0 K/sq.ft,North-east,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹50.0 L,,₹11.24 K/sq.ft,North-east,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,North-west,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹60.0 L,,₹13.48 K/sq.ft,North-east,None sq.ft,
,2 BHK Flat for sale in Dwarka Mor,₹28.0 L,,₹5.96 K/sq.ft,,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹55.0 L,,₹12.36 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹68.51 L,,₹6.92 K/sq.ft,East,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹5.06 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹4.42 K/sq.ft,North-west,None sq.ft,
,7 BHK Independent House for sale in Dwarka Mor,₹60.0 L,,₹11.76 K/sq.ft,,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹95.0 L,,₹13.77 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹60.0 L,,₹13.04 K/sq.ft,,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹42.0 L,,₹12.73 K/sq.ft,,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹63.0 L,,₹13.4 K/sq.ft,East,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹65.0 L,,₹11.61 K/sq.ft,North,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹50.0 L,,₹9.62 K/sq.ft,East,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹50.0 L,,₹10.87 K/sq.ft,East,None sq.ft,
,8 BHK Independent House for sale in Dwarka Mor,₹75.0 L,,₹16.3 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹62.0 L,,₹13.48 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹42.0 L,,₹11.05 K/sq.ft,,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹33.0 L,,₹7.02 K/sq.ft,East,None sq.ft,
,5 BHK Independent House for sale in Dwarka Mor,₹32.0 L,,₹13.91 K/sq.ft,East,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹45.0 L,,₹9.78 K/sq.ft,,None sq.ft,
Prime,3 BHK Flat for sale in Dwarka Mor,₹55.11 L,,₹5.1 K/sq.ft,,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹5.0 K/sq.ft,,None sq.ft,
,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.65 K/sq.ft,North,None sq.ft,
,1 BHK Independent House for sale in Dwarka Mor,₹35.0 L,,₹11.11 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹58.0 L,,₹13.03 K/sq.ft,,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹55.0 L,,₹12.36 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹27.0 L,,₹5.0 K/sq.ft,,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.88 K/sq.ft,North,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹55.0 L,,₹12.36 K/sq.ft,,None sq.ft,
